lat_lon,flag_gfw,lat,lon,fishing_hours
-1.0_0.0,CHN,-1.0,0.0,43.98855
-1.0_0.0,ESP,-1.0,0.0,398.7916777777778
-1.0_0.0,JPN,-1.0,0.0,72.61071999999999
-1.0_0.0,PRT,-1.0,0.0,16.499716666666668
-1.0_0.0,TWN,-1.0,0.0,241.64959999999988
-1.0_1.0,BLZ,-1.0,1.0,0.8671
-1.0_1.0,CHN,-1.0,1.0,99.71180000000001
-1.0_1.0,ESP,-1.0,1.0,510.781122222222
-1.0_1.0,JPN,-1.0,1.0,109.4519
-1.0_1.0,PRT,-1.0,1.0,68.29319999999998
-1.0_1.0,TWN,-1.0,1.0,212.694942857143
-1.0_117.0,IDN,-1.0,117.0,1.1172
-1.0_117.0,PAN,-1.0,117.0,25.996299999999998
-1.0_118.0,PAN,-1.0,118.0,163.4366
-1.0_126.0,IDN,-1.0,126.0,1057.7077000000004
-1.0_127.0,IDN,-1.0,127.0,176.34529999999998
-1.0_128.0,IDN,-1.0,128.0,6.7279
-1.0_142.0,JPN,-1.0,142.0,20.16485
-1.0_142.0,PHL,-1.0,142.0,1.2169
-1.0_142.0,TWN,-1.0,142.0,370.183
-1.0_143.0,JPN,-1.0,143.0,27.483699999999992
-1.0_143.0,NRU,-1.0,143.0,22.376399999999997
-1.0_143.0,PHL,-1.0,143.0,6.7644
-1.0_143.0,TWN,-1.0,143.0,300.4766
-1.0_144.0,JPN,-1.0,144.0,19.270450000000004
-1.0_144.0,PHL,-1.0,144.0,0.0638
-1.0_144.0,TWN,-1.0,144.0,383.78010000000006
-1.0_145.0,JPN,-1.0,145.0,2.2233
-1.0_145.0,PHL,-1.0,145.0,11.8222
-1.0_145.0,TWN,-1.0,145.0,17.4721
-1.0_146.0,JPN,-1.0,146.0,90.86143999999999
-1.0_146.0,PHL,-1.0,146.0,20.758450000000003
-1.0_146.0,TWN,-1.0,146.0,71.0331
-1.0_146.0,VUT,-1.0,146.0,78.93484999999998
-1.0_147.0,CHN,-1.0,147.0,124.60759999999998
-1.0_147.0,JPN,-1.0,147.0,590.2550599999998
-1.0_147.0,NRU,-1.0,147.0,4.2171
-1.0_147.0,PHL,-1.0,147.0,47.453
-1.0_147.0,TWN,-1.0,147.0,166.78866666666661
-1.0_147.0,VUT,-1.0,147.0,82.35735
-1.0_148.0,CHN,-1.0,148.0,153.34200000000004
-1.0_148.0,JPN,-1.0,148.0,478.8709399999999
-1.0_148.0,NRU,-1.0,148.0,23.3558
-1.0_148.0,PHL,-1.0,148.0,45.974900000000005
-1.0_148.0,TWN,-1.0,148.0,91.13010000000001
-1.0_148.0,VUT,-1.0,148.0,128.27814999999998
-1.0_149.0,CHN,-1.0,149.0,25.614250000000002
-1.0_149.0,JPN,-1.0,149.0,361.6367399999998
-1.0_149.0,PHL,-1.0,149.0,0.35050000000000003
-1.0_149.0,TWN,-1.0,149.0,31.3701
-1.0_149.0,VUT,-1.0,149.0,42.782599999999995
-1.0_150.0,CHN,-1.0,150.0,158.0943
-1.0_150.0,JPN,-1.0,150.0,807.9224999999997
-1.0_150.0,PHL,-1.0,150.0,32.40545
-1.0_150.0,TWN,-1.0,150.0,35.59685
-1.0_150.0,VUT,-1.0,150.0,17.146700000000003
-1.0_151.0,CHN,-1.0,151.0,114.70040000000003
-1.0_151.0,JPN,-1.0,151.0,1047.40778
-1.0_151.0,PHL,-1.0,151.0,0.9255
-1.0_151.0,TWN,-1.0,151.0,50.0702
-1.0_152.0,CHN,-1.0,152.0,34.769099999999995
-1.0_152.0,JPN,-1.0,152.0,505.1455166666667
-1.0_152.0,PHL,-1.0,152.0,2.229
-1.0_152.0,RUS,-1.0,152.0,1.9413
-1.0_152.0,TWN,-1.0,152.0,111.35114999999999
-1.0_152.0,VUT,-1.0,152.0,18.3127
-1.0_153.0,CHN,-1.0,153.0,21.492350000000002
-1.0_153.0,JPN,-1.0,153.0,342.42845000000005
-1.0_153.0,TWN,-1.0,153.0,117.47143333333334
-1.0_153.0,VUT,-1.0,153.0,83.1962
-1.0_154.0,CHN,-1.0,154.0,4.2257
-1.0_154.0,JPN,-1.0,154.0,67.72431999999999
-1.0_154.0,NRU,-1.0,154.0,0.5852
-1.0_154.0,TWN,-1.0,154.0,68.74640000000002
-1.0_154.0,VUT,-1.0,154.0,34.26439999999999
-1.0_155.0,CHN,-1.0,155.0,82.442
-1.0_155.0,FSM,-1.0,155.0,5.5422
-1.0_155.0,JPN,-1.0,155.0,32.276959999999995
-1.0_155.0,TWN,-1.0,155.0,54.034899999999986
-1.0_155.0,VUT,-1.0,155.0,28.0651
-1.0_156.0,CHN,-1.0,156.0,41.909150000000004
-1.0_156.0,FSM,-1.0,156.0,11.111500000000001
-1.0_156.0,JPN,-1.0,156.0,17.217075
-1.0_157.0,CHN,-1.0,157.0,62.057800000000015
-1.0_157.0,FSM,-1.0,157.0,6.7863
-1.0_157.0,JPN,-1.0,157.0,34.52825
-1.0_157.0,TWN,-1.0,157.0,20.00095
-1.0_157.0,VUT,-1.0,157.0,15.239899999999999
-1.0_158.0,CHN,-1.0,158.0,34.36824
-1.0_158.0,JPN,-1.0,158.0,41.46736666666666
-1.0_158.0,KOR,-1.0,158.0,55.10176666666667
-1.0_158.0,TWN,-1.0,158.0,490.73818750000004
-1.0_158.0,VUT,-1.0,158.0,13.47825
-1.0_159.0,CHN,-1.0,159.0,48.393860000000004
-1.0_159.0,FJI,-1.0,159.0,83.43409999999999
-1.0_159.0,IND,-1.0,159.0,5.5951
-1.0_159.0,JPN,-1.0,159.0,15.493214285714286
-1.0_159.0,KOR,-1.0,159.0,85.42373333333335
-1.0_159.0,TWN,-1.0,159.0,597.1044444444445
